סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,סמל ישוב קלפי,שם ישוב קלפי,סמל רחוב קלפי,שם רחוב קלפי,מס' בית,מקום קלפי,סווג מקום,מחוז
5000,תל אביב - יפו,114.0,218,"בקר אהרון,10 ",5000,תל אביב - יפו,4774,בקר אהרון,10,"בי""ס ע""ש נעמי שמר",,תא
5000,תל אביב - יפו,115.0,162,"גרונימן,11 ",5000,תל אביב - יפו,117,גרונימן,11,"בי""ס אילנות",בית ספר ממלכתי,תא
5000,תל אביב - יפו,116.0,163,"אשכול לוי,94 ",5000,תל אביב - יפו,197,אשכול לוי,94,"בי""ס ממלכתי אביב",בית ספר ממלכתי,תא
5000,תל אביב - יפו,117.0,163,"אשכול לוי,94 ",5000,תל אביב - יפו,197,אשכול לוי,94,"בי""ס ממלכתי אביב",בית ספר ממלכתי,תא
5000,תל אביב - יפו,118.0,080,"בן יהודה,227 ",5000,תל אביב - יפו,510,בן יהודה,227,"בי""ס תיכון ה",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,119.0,100,"שד נורדאו,63 ",5000,תל אביב - יפו,425,שד נורדאו,63,"מתנ""ס קהילתי דתי בית-מגיד",מרכז קהילתי,תא
5000,תל אביב - יפו,120.0,032,"הירקון,248 ",5000,תל אביב - יפו,461,הירקון,248,"בי""ס גורדון",בית ספר ממלכתי,תא
5000,תל אביב - יפו,121.0,080,"בן יהודה,227 ",5000,תל אביב - יפו,510,בן יהודה,227,"בי""ס תיכון ה",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,122.0,005,"שמעון התרסי,31 ",5000,תל אביב - יפו,422,שמעון התרסי,31,"בי""ס אוסישקין",בית ספר ממלכתי,תא
5000,תל אביב - יפו,123.0,082,"בן יהודה,193 ",5000,תל אביב - יפו,510,בן יהודה,193,"סניף בי""ס תיכון ה'",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,124.0,080,"בן יהודה,227 ",5000,תל אביב - יפו,510,בן יהודה,227,"בי""ס תיכון ה",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,125.0,080,"בן יהודה,227 ",5000,תל אביב - יפו,510,בן יהודה,227,"בי""ס תיכון ה",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,126.0,032,"הירקון,248 ",5000,תל אביב - יפו,461,הירקון,248,"בי""ס גורדון",בית ספר ממלכתי,תא
5000,תל אביב - יפו,127.0,082,"בן יהודה,193 ",5000,תל אביב - יפו,510,בן יהודה,193,"סניף בי""ס תיכון ה'",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,128.0,082,"בן יהודה,193 ",5000,תל אביב - יפו,510,בן יהודה,193,"סניף בי""ס תיכון ה'",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,129.0,082,"בן יהודה,193 ",5000,תל אביב - יפו,510,בן יהודה,193,"סניף בי""ס תיכון ה'",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,130.0,180,"מנדלשטם,12 ",5000,תל אביב - יפו,451,מנדלשטם,12,מרכז יום לקשיש,מועדון קשישים,תא
5000,תל אביב - יפו,131.0,180,"מנדלשטם,12 ",5000,תל אביב - יפו,451,מנדלשטם,12,מרכז יום לקשיש,מועדון קשישים,תא
5000,תל אביב - יפו,132.0,180,"מנדלשטם,12 ",5000,תל אביב - יפו,451,מנדלשטם,12,מרכז יום לקשיש,מועדון קשישים,תא
5000,תל אביב - יפו,133.0,082,"בן יהודה,193 ",5000,תל אביב - יפו,510,בן יהודה,193,"סניף בי""ס תיכון ה'",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,134.0,221,"הר נבו,4 ",5000,תל אביב - יפו,448,הר נבו,4,"בי""ס מצדה - אולם ספורט",,תא
5000,תל אביב - יפו,135.0,066,"תבואות הארץ,11 ",5000,תל אביב - יפו,331,תבואות הארץ,11,"בי""ס תיכון עירוני יד",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,136.0,011,"קהילת קיוב,15 ",5000,תל אביב - יפו,258,קהילת קיוב,15,"בי""ס מקיף על שם ליידי דייוויס",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,137.0,098,"אנטיגונוס,6 ",5000,תל אביב - יפו,813,אנטיגונוס,6,מרכז טכנולוגי למינהל,מוסד להשכלה גבוהה/מכללה,תא
5000,תל אביב - יפו,138.0,028,"פרסיץ שושנה,1 ",5000,תל אביב - יפו,276,פרסיץ שושנה,1,"ביה""ס הצורי",בית ספר תיכון עירוני,תא
